name, instances, runs, satisfied_clauses, satisfied_clauses_rate, solutions_found, solutions_found rate, optimums_reached, optimums_reached_rate
whitebox_11, wuf20-91-Q, 50, 50.0, 1.0, 50, 1.0, 49, 0.98
blackbox, wuf20-91-Q, 1000, 999.989010989011, 0.999989010989011, 999, 0.999, 973, 0.973
whitebox_0, wuf20-91-R, 50, 49.64835164835168, 0.9929670329670336, 22, 0.44, 14, 0.28
whitebox_1, wuf20-91-R, 50, 49.60439560439565, 0.9920879120879129, 19, 0.38, 16, 0.32
whitebox_2, wuf20-91-R, 50, 49.681318681318714, 0.9936263736263743, 23, 0.46, 22, 0.44
whitebox_3, wuf20-91-R, 50, 49.53846153846156, 0.9907692307692312, 14, 0.28, 8, 0.16
whitebox_4, wuf20-91-R, 50, 49.62637362637365, 0.992527472527473, 20, 0.4, 18, 0.36
whitebox_5, wuf20-91-R, 50, 49.04395604395606, 0.9808791208791212, 3, 0.06, 3, 0.06
whitebox_6, wuf20-91-R, 50, 49.78021978021981, 0.9956043956043962, 30, 0.6, 20, 0.4
whitebox_7, wuf20-91-R, 50, 49.835164835164875, 0.9967032967032975, 35, 0.7, 34, 0.68
whitebox_8, wuf20-91-R, 50, 49.79120879120883, 0.9958241758241766, 32, 0.64, 25, 0.5
whitebox_9, wuf20-91-R, 50, 46.29670329670327, 0.9259340659340655, 0, 0.0, 0, 0.0
whitebox_10, wuf20-91-R, 50, 46.54945054945053, 0.9309890109890107, 0, 0.0, 0, 0.0
whitebox_11, wuf20-91-R, 50, 50.0, 1.0, 50, 1.0, 49, 0.98
blackbox, wuf20-91-R, 1000, 999.5604395604397, 0.9995604395604397, 960, 0.96, 930, 0.93
whitebox_0, wuf50-218-M, 50, 49.321100917431174, 0.9864220183486235, 4, 0.08, 0, 0.0
whitebox_1, wuf50-218-M, 50, 49.38073394495412, 0.9876146788990825, 5, 0.1, 0, 0.0
whitebox_2, wuf50-218-M, 50, 49.50917431192659, 0.9901834862385318, 8, 0.16, 0, 0.0
whitebox_3, wuf50-218-M, 50, 49.63761467889909, 0.9927522935779818, 11, 0.22, 1, 0.02
whitebox_4, wuf50-218-M, 50, 49.70183486238533, 0.9940366972477066, 15, 0.3, 0, 0.0
whitebox_5, wuf50-218-M, 50, 49.65137614678898, 0.9930275229357796, 16, 0.32, 1, 0.02
whitebox_6, wuf50-218-M, 50, 49.73394495412843, 0.9946788990825687, 17, 0.34, 0, 0.0
whitebox_7, wuf50-218-M, 50, 49.80733944954129, 0.9961467889908258, 19, 0.38, 0, 0.0
whitebox_8, wuf50-218-M, 50, 49.848623853211, 0.9969724770642201, 24, 0.48, 0, 0.0
whitebox_9, wuf50-218-M, 50, 49.24311926605503, 0.9848623853211006, 11, 0.22, 2, 0.04
whitebox_10, wuf50-218-M, 50, 49.84862385321101, 0.9969724770642202, 29, 0.58, 2, 0.04
whitebox_11, wuf50-218-M, 50, 49.90825688073395, 0.9981651376146791, 32, 0.64, 2, 0.04
blackbox, wuf50-218-M, 1000, 998.5733944954086, 0.9985733944954086, 736, 0.736, 56, 0.056
whitebox_0, wuf50-218-N, 50, 49.31651376146788, 0.9863302752293577, 5, 0.1, 0, 0.0
whitebox_1, wuf50-218-N, 50, 49.385321100917416, 0.9877064220183484, 4, 0.08, 0, 0.0
whitebox_2, wuf50-218-N, 50, 49.49999999999998, 0.9899999999999995, 10, 0.2, 0, 0.0
whitebox_3, wuf50-218-N, 50, 49.58715596330276, 0.9917431192660553, 8, 0.16, 0, 0.0
whitebox_5, wuf50-218-N, 50, 49.57798165137616, 0.9915596330275233, 13, 0.26, 0, 0.0
whitebox_4, wuf50-218-N, 50, 49.74770642201834, 0.9949541284403668, 14, 0.28, 0, 0.0
whitebox_6, wuf50-218-N, 50, 49.669724770642205, 0.9933944954128441, 9, 0.18, 1, 0.02
whitebox_7, wuf50-218-N, 50, 49.78899082568808, 0.9957798165137617, 18, 0.36, 0, 0.0
whitebox_8, wuf50-218-N, 50, 49.798165137614696, 0.9959633027522939, 17, 0.34, 0, 0.0
whitebox_9, wuf50-218-N, 50, 49.28440366972476, 0.9856880733944952, 7, 0.14, 0, 0.0
whitebox_10, wuf50-218-N, 50, 49.642201834862384, 0.9928440366972476, 17, 0.34, 2, 0.04
whitebox_11, wuf50-218-N, 50, 49.93119266055045, 0.998623853211009, 37, 0.74, 3, 0.06
blackbox, wuf50-218-N, 1000, 998.568807339445, 0.998568807339445, 730, 0.73, 48, 0.048
whitebox_0, wuf50-218-Q, 50, 49.321100917431195, 0.9864220183486239, 4, 0.08, 0, 0.0
whitebox_1, wuf50-218-Q, 50, 49.45412844036696, 0.9890825688073391, 6, 0.12, 0, 0.0
whitebox_2, wuf50-218-Q, 50, 49.47706422018348, 0.9895412844036696, 5, 0.1, 0, 0.0
whitebox_3, wuf50-218-Q, 50, 49.56880733944954, 0.9913761467889909, 9, 0.18, 0, 0.0
whitebox_4, wuf50-218-Q, 50, 49.5412844036697, 0.990825688073394, 9, 0.18, 0, 0.0
whitebox_5, wuf50-218-Q, 50, 49.17431192660548, 0.9834862385321097, 1, 0.02, 0, 0.0
whitebox_6, wuf50-218-Q, 50, 49.70183486238532, 0.9940366972477064, 13, 0.26, 1, 0.02
whitebox_7, wuf50-218-Q, 50, 49.761467889908275, 0.9952293577981655, 14, 0.28, 0, 0.0
whitebox_8, wuf50-218-Q, 50, 49.77981651376147, 0.9955963302752293, 17, 0.34, 0, 0.0
whitebox_9, wuf50-218-Q, 50, 46.72935779816513, 0.9345871559633027, 0, 0.0, 0, 0.0
whitebox_10, wuf50-218-Q, 50, 49.28899082568806, 0.9857798165137612, 4, 0.08, 0, 0.0
whitebox_11, wuf50-218-Q, 50, 49.89449541284403, 0.9978899082568806, 31, 0.62, 0, 0.0
blackbox, wuf50-218-Q, 1000, 998.5688073394446, 0.9985688073394445, 719, 0.719, 76, 0.076
whitebox_0, wuf50-218-R, 50, 49.22935779816513, 0.9845871559633026, 3, 0.06, 0, 0.0
whitebox_1, wuf50-218-R, 50, 49.307339449541274, 0.9861467889908255, 4, 0.08, 0, 0.0
whitebox_2, wuf50-218-R, 50, 49.486238532110086, 0.9897247706422018, 5, 0.1, 0, 0.0
whitebox_3, wuf50-218-R, 50, 49.56422018348622, 0.9912844036697244, 6, 0.12, 0, 0.0
whitebox_4, wuf50-218-R, 50, 49.60091743119267, 0.9920183486238534, 8, 0.16, 0, 0.0
whitebox_5, wuf50-218-R, 50, 49.16513761467889, 0.9833027522935778, 2, 0.04, 0, 0.0
whitebox_6, wuf50-218-R, 50, 49.6559633027523, 0.993119266055046, 11, 0.22, 0, 0.0
whitebox_7, wuf50-218-R, 50, 49.79357798165139, 0.9958715596330278, 15, 0.3, 1, 0.02
whitebox_8, wuf50-218-R, 50, 49.74770642201836, 0.9949541284403672, 12, 0.24, 0, 0.0
whitebox_9, wuf50-218-R, 50, 46.4908256880734, 0.929816513761468, 0, 0.0, 0, 0.0
whitebox_10, wuf50-218-R, 50, 47.25229357798164, 0.9450458715596328, 0, 0.0, 0, 0.0
whitebox_11, wuf50-218-R, 50, 49.88990825688074, 0.9977981651376148, 28, 0.56, 1, 0.02
blackbox, wuf50-218-R, 1000, 998.0458715596282, 0.9980458715596282, 636, 0.636, 58, 0.058
whitebox_0, wuf75-325-M, 50, 49.01230769230769, 0.9802461538461538, 0, 0.0, 0, 0.0
whitebox_1, wuf75-325-M, 50, 49.10153846153845, 0.982030769230769, 2, 0.04, 0, 0.0
whitebox_2, wuf75-325-M, 50, 49.249230769230756, 0.9849846153846151, 0, 0.0, 0, 0.0
whitebox_3, wuf75-325-M, 50, 49.37230769230769, 0.9874461538461539, 3, 0.06, 0, 0.0
whitebox_4, wuf75-325-M, 50, 49.489230769230765, 0.9897846153846153, 4, 0.08, 0, 0.0
whitebox_5, wuf75-325-M, 50, 49.31076923076923, 0.9862153846153846, 4, 0.08, 0, 0.0
whitebox_6, wuf75-325-M, 50, 49.486153846153854, 0.989723076923077, 3, 0.06, 0, 0.0
whitebox_7, wuf75-325-M, 50, 49.590769230769226, 0.9918153846153845, 8, 0.16, 0, 0.0
whitebox_8, wuf75-325-M, 50, 49.704615384615394, 0.9940923076923078, 9, 0.18, 0, 0.0
whitebox_9, wuf75-325-M, 50, 48.67384615384614, 0.9734769230769228, 0, 0.0, 0, 0.0
whitebox_10, wuf75-325-M, 50, 49.639999999999986, 0.9927999999999997, 13, 0.26, 0, 0.0
whitebox_11, wuf75-325-M, 50, 49.81538461538461, 0.9963076923076922, 19, 0.38, 1, 0.02
whitebox_0, wuf75-325-N, 50, 48.93846153846154, 0.9787692307692307, 1, 0.02, 0, 0.0
whitebox_1, wuf75-325-N, 50, 49.05846153846155, 0.981169230769231, 0, 0.0, 0, 0.0
whitebox_2, wuf75-325-N, 50, 49.24307692307693, 0.9848615384615386, 4, 0.08, 0, 0.0
whitebox_3, wuf75-325-N, 50, 49.43076923076925, 0.988615384615385, 3, 0.06, 0, 0.0
whitebox_4, wuf75-325-N, 50, 49.45846153846154, 0.9891692307692308, 3, 0.06, 0, 0.0
whitebox_5, wuf75-325-N, 50, 49.33230769230767, 0.9866461538461535, 4, 0.08, 0, 0.0
whitebox_6, wuf75-325-N, 50, 49.51076923076924, 0.9902153846153848, 4, 0.08, 0, 0.0
whitebox_7, wuf75-325-N, 50, 49.596923076923055, 0.9919384615384611, 9, 0.18, 0, 0.0
whitebox_8, wuf75-325-N, 50, 49.698461538461544, 0.9939692307692308, 12, 0.24, 0, 0.0
whitebox_9, wuf75-325-N, 50, 48.90461538461539, 0.9780923076923078, 0, 0.0, 0, 0.0
whitebox_10, wuf75-325-N, 50, 49.19384615384617, 0.9838769230769233, 3, 0.06, 0, 0.0
whitebox_11, wuf75-325-N, 50, 49.77846153846153, 0.9955692307692305, 14, 0.28, 0, 0.0
whitebox_0, wuf75-325-Q, 50, 49.012307692307694, 0.9802461538461539, 1, 0.02, 0, 0.0
whitebox_1, wuf75-325-Q, 50, 49.092307692307685, 0.9818461538461537, 1, 0.02, 0, 0.0
whitebox_2, wuf75-325-Q, 50, 49.221538461538465, 0.9844307692307693, 0, 0.0, 0, 0.0
whitebox_3, wuf75-325-Q, 50, 49.31384615384615, 0.986276923076923, 1, 0.02, 0, 0.0
whitebox_4, wuf75-325-Q, 50, 49.44615384615384, 0.9889230769230768, 2, 0.04, 0, 0.0
whitebox_5, wuf75-325-Q, 50, 49.05538461538462, 0.9811076923076923, 0, 0.0, 0, 0.0
whitebox_6, wuf75-325-Q, 50, 49.470769230769235, 0.9894153846153847, 4, 0.08, 0, 0.0
whitebox_7, wuf75-325-Q, 50, 49.53846153846154, 0.9907692307692308, 3, 0.06, 0, 0.0
whitebox_8, wuf75-325-Q, 50, 49.65230769230768, 0.9930461538461536, 7, 0.14, 0, 0.0
whitebox_9, wuf75-325-Q, 50, 47.01230769230769, 0.9402461538461537, 0, 0.0, 0, 0.0
whitebox_10, wuf75-325-Q, 50, 49.44923076923077, 0.9889846153846155, 1, 0.02, 0, 0.0
whitebox_11, wuf75-325-Q, 50, 49.775384615384624, 0.9955076923076924, 16, 0.32, 0, 0.0
whitebox_0, wuf75-325-R, 50, 48.96307692307693, 0.9792615384615386, 1, 0.02, 0, 0.0
whitebox_1, wuf75-325-R, 50, 49.10153846153845, 0.982030769230769, 0, 0.0, 0, 0.0
whitebox_2, wuf75-325-R, 50, 49.2523076923077, 0.985046153846154, 1, 0.02, 0, 0.0
whitebox_3, wuf75-325-R, 50, 49.33230769230768, 0.9866461538461536, 0, 0.0, 0, 0.0
whitebox_4, wuf75-325-R, 50, 49.43999999999998, 0.9887999999999997, 0, 0.0, 0, 0.0
whitebox_5, wuf75-325-R, 50, 48.972307692307695, 0.9794461538461539, 0, 0.0, 0, 0.0
whitebox_6, wuf75-325-R, 50, 49.467692307692296, 0.9893538461538459, 2, 0.04, 0, 0.0
whitebox_7, wuf75-325-R, 50, 49.63999999999999, 0.9927999999999999, 8, 0.16, 0, 0.0
whitebox_8, wuf75-325-R, 50, 49.67076923076922, 0.9934153846153844, 9, 0.18, 0, 0.0
whitebox_9, wuf75-325-R, 50, 46.94153846153846, 0.9388307692307691, 0, 0.0, 0, 0.0
whitebox_10, wuf75-325-R, 50, 47.56307692307691, 0.9512615384615383, 0, 0.0, 0, 0.0
whitebox_11, wuf75-325-R, 50, 49.7876923076923, 0.9957538461538461, 15, 0.3, 0, 0.0
